Tune_name,1,1+,1-,2,2+,2-,3,3+,3-,4,4+,5,5+,5-,6,6+,6-,7,7-,r,Other
billy_in_the_lowlands.krn.B_scale_dist_dur.txt,68,,,24,,,36,,,,,60,,,56,,,4,,,
bird_in_the_bush.krn.B_scale_dist_dur.txt,76,,,32,,,56,,,8,,24,,,28,,,32,,,
black_cat.krn.B_scale_dist_dur.txt,50,,,36,,,44,,,38,12,16,,,32,,,10,,8,
black_cat_jig.krn.B_scale_dist_dur.txt,28,,,40,,,32,,,32,4,36,,,4,,,16,,,
black_eyed_susie.krn.B_scale_dist_dur.txt,130,,,32,,,66,,,,,8,,,12,,,,,,
black_friday.krn.B_scale_dist_dur.txt,40,,,28,,,28,,,24,,44,,,,,,,28,,
black_jack_grove.krn.B_scale_dist_dur.txt,72,,,64,,,24,,,12,,32,,,4,,,40,8,,
black_rock.krn.B_scale_dist_dur.txt,42,,,60,,,4,,8,16,,66,,,10,,,,42,4,
black_scoter.krn.B_scale_dist_dur.txt,80,,,48,,,12,,,12,,52,,,4,,,,48,,
blackberry_blossoms.krn.B_scale_dist_dur.txt,52,,,36,,,40,,,32,,68,,,4,,,8,,,
blair_atholl.krn.B_scale_dist_dur.txt,76,,,40,,,36,,,24,,32,,,,,,4,44,,
blind_mans_reel.krn.B_scale_dist_dur.txt,80,,,24,,,26,,,10,,64,,,16,,,32,,4,
bloom_of_youth.krn.B_scale_dist_dur.txt,64,,,14,,,68,,,28,,40,,,40,,,2,,,
blue_bonnets_over_the_border.krn.B_scale_dist_dur.txt,44,,,30,,,48,,,,,44,,,20,,,8,,,
blue_earth_special.krn.B_scale_dist_dur.txt,48,,,64,,,36,,,28,,36,,,,,,,44,,
blue_jig.krn.B_scale_dist_dur.txt,52,,,32,,,8,,24,4,,24,,,32,,,,16,,
bluejay.krn.B_scale_dist_dur.txt,34,,,6,,,16,,,26,,50,,,40,,,,20,,
boatman.krn.B_scale_dist_dur.txt,84,,,16,,,28,,,12,,84,,,36,,,,,,
bob_mcquillens_reel.krn.B_scale_dist_dur.txt,42,,,38,,,52,,,54,,28,,,22,,,20,,,
bonaparte_crossing_the_rhine.krn.B_scale_dist_dur.txt,62,,,40,,,42,,,8,,52,,,32,,,12,,,
bonnie_charlie.krn.B_scale_dist_dur.txt,54,,,34,,,44,,,24,,58,,,4,,,,38,,
bonnie_isabel_robertson.krn.B_scale_dist_dur.txt,56,,,24,,,60,,,32,,44,,,16,,,24,,,
boot_shuffle.krn.B_scale_dist_dur.txt,46,,,54,,,44,,,30,,38,,,12,,,8,,,
booth_shot_lincoln.krn.B_scale_dist_dur.txt,92,,,28,,,30,,,,,58,,,32,,,,,,
boring_the_leather.krn.B_scale_dist_dur.txt,56,,,28,,,52,,,,,36,,,10,,,10,,,
boswells_fancy.krn.B_scale_dist_dur.txt,24,,,74,,,32,,,10,,56,,,30,,,26,,,
bottom_of_the_punchbowl.krn.B_scale_dist_dur.txt,68,,,68,,,36,,,4,,36,,,36,,,8,,,
bound_to_have_a_little_fun.krn.B_scale_dist_dur.txt,44,,,28,,,24,,,12,,60,,,72,,,16,,,
boy_in_the_gap.krn.B_scale_dist_dur.txt,48,,,68,,,48,,,16,,32,,,24,,,20,,,
boyne_water.krn.B_scale_dist_dur.txt,64,,,20,,,20,4,,36,,36,,,,32,,,44,,
boys_lament_for_his_dragon.krn.B_scale_dist_dur.txt,52,,,24,,,20,,,24,,88,,,24,,,8,16,,
boys_my_moneys_all_gone.krn.B_scale_dist_dur.txt,62,,,24,,,8,,40,82,,8,,,20,,,,12,,
boys_of_antrim.krn.B_scale_dist_dur.txt,42,,,16,,,38,,,26,,32,,,6,,,,26,2,
boys_of_ballycastle.krn.B_scale_dist_dur.txt,68,,,32,,,52,,,24,,64,,,4,,,,12,,
boys_of_malin.krn.B_scale_dist_dur.txt,66,,,28,,,50,,,28,,56,,,24,,,4,,,
boys_of_tandragee.krn.B_scale_dist_dur.txt,56,,,36,,,,,,24,,32,,,,8,,,36,,
boys_of_the_lough.krn.B_scale_dist_dur.txt,56,,,40,,,80,,,14,,28,,,24,,,12,,,
brandywine.krn.B_scale_dist_dur.txt,88,,,40,,,16,,,,,32,,,56,,,16,,,
brasstown.krn.B_scale_dist_dur.txt,62,,,8,,,84,,,20,,16,,,,,,,16,4,
breakwater_boys_breakdown.krn.B_scale_dist_dur.txt,72,,,,,,,,44,48,,52,,,4,,,,40,,
brenda_stubberts.krn.B_scale_dist_dur.txt,94,,,46,,,8,,,16,,30,,,,,,,62,,
brendan_mcmahons.krn.B_scale_dist_dur.txt,32,,,26,,,60,,,60,,48,,,32,,,,,,
briarpicker_brown.krn.B_scale_dist_dur.txt,32,,,36,,,44,,,8,,92,,,28,,,,,,
brides_reel.krn.B_scale_dist_dur.txt,52,,,16,,,16,,,48,,32,,,52,,,,40,,
broue_reel_de_la.krn.B_scale_dist_dur.txt,84,,,52,,,64,,,12,,28,,,12,,,4,,,
brumley_brae.krn.B_scale_dist_dur.txt,64,,,16,,,40,,,12,12,60,4,,28,,,20,,,
brushy_run.krn.B_scale_dist_dur.txt,64,,,32,,,24,,,,,64,,,52,,,20,,,
buck_mountain.krn.B_scale_dist_dur.txt,60,,,24,,,12,,,,,40,,,56,,,28,,,
buckle_up_the_backstrap.krn.B_scale_dist_dur.txt,104,,,16,,,24,,8,40,,32,,,32,,,,,,
buffalo_girls.krn.B_scale_dist_dur.txt,48,,,40,,,40,,,36,,52,,,16,,,8,,,
bumblebee_in_a_jug.krn.B_scale_dist_dur.txt,42,,,36,,,54,,,20,,30,,,46,,,28,,,
bundle_and_go.krn.B_scale_dist_dur.txt,72,,,20,,,12,,,16,,20,,,,,,,54,,
burchards_hornpipe.krn.B_scale_dist_dur.txt,56,,,20,,,36,,,36,,68,,,24,,,20,,,
burnt_old_man.krn.B_scale_dist_dur.txt,56,,,56,,,24,,,,,32,,,20,,,4,,,
bus_stop_real.krn.B_scale_dist_dur.txt,44,,,28,,,32,,,32,,72,,,8,4,,,24,,
butchers_row.krn.B_scale_dist_dur.txt,56,,,40,,,40,,,12,,48,,,32,,,28,,,
buzz_the_9.krn.B_scale_dist_dur.txt,52,,,80,,,4,,8,,,28,,,36,,,12,,,
cairin_ot.krn.B_scale_dist_dur.txt,52,,,12,,,52,,,20,,68,,,28,,,24,,,
calling_wood.krn.B_scale_dist_dur.txt,30,,,18,,,12,,,10,,34,,,48,,,14,,6,
calliope_house.krn.B_scale_dist_dur.txt,30,,,28,,,32,,,18,,68,,,14,,,,,,
camp_meeting_on_the_fourth_of_july.krn.B_scale_dist_dur.txt,100,,,16,,,20,,,,,40,,,60,,,20,,,
