Tune_name,do,re,me,mi,fa,fi,so,la,le,te,ti,Other
bound_to_have_a_little_fun.krn.diss_A.txt,,20,,,8,,,18,,,,
boy_in_the_gap.krn.diss_A.txt,8,12,,4,24,,,8,,,,
boyne_water.krn.diss_A.txt,16,18,12,,16,,,8,,12,,
boys_lament_for_his_dragon.krn.diss_A.txt,24,8,,12,8,,,6,,,6,
boys_my_moneys_all_gone.krn.diss_A.txt,26,12,64,,56,,8,4,,4,,
boys_of_antrim.krn.diss_A.txt,4,24,,12,12,,2,4,,,10,
boys_of_ballycastle.krn.diss_A.txt,,14,4,,24,,8,,,28,,
boys_of_malin.krn.diss_A.txt,,18,,20,24,,10,4,,,12,
boys_of_tandragee.krn.diss_A.txt,16,6,4,,28,,4,,,12,,
boys_of_the_lough.krn.diss_A.txt,4,4,,12,4,,8,14,,,,
brandywine.krn.diss_A.txt,4,40,,12,8,,16,8,,,,
brasstown.krn.diss_A.txt,40,8,,,28,8,4,,,,,
breakwater_boys_breakdown.krn.diss_A.txt,,8,,4,4,,12,14,,40,,
brenda_stubberts.krn.diss_A.txt,12,30,,,20,,4,,,8,,
brendan_mcmahons.krn.diss_A.txt,4,4,,,12,,4,,,12,,
briarpicker_brown.krn.diss_A.txt,8,12,,,,,,38,,,8,
brides_reel.krn.diss_A.txt,16,20,,20,64,,4,24,,24,,
broue_reel_de_la.krn.diss_A.txt,4,,,18,8,,,24,,,16,
brumley_brae.krn.diss_A.txt,8,,,16,8,,,4,,4,20,
brushy_run.krn.diss_A.txt,8,14,,8,12,,12,12,,,12,
buck_mountain.krn.diss_A.txt,2,12,,14,10,,8,14,,,,
buckle_up_the_backstrap.krn.diss_A.txt,8,,,,20,,,,,16,8,
buffalo_girls.krn.diss_A.txt,12,4,,,12,,,16,,,24,
bumblebee_in_a_jug.krn.diss_A.txt,4,16,,4,,,8,12,,,8,
bundle_and_go.krn.diss_A.txt,16,4,,,8,,4,,,6,,
burchards_hornpipe.krn.diss_A.txt,4,12,,4,8,,8,8,,,12,
burnt_old_man.krn.diss_A.txt,,12,,4,,,,12,,,4,
bus_stop_real.krn.diss_A.txt,12,12,,,16,,4,4,,8,,
butchers_row.krn.diss_A.txt,8,6,,8,22,,16,8,,,24,
buzz_the_9.krn.diss_A.txt,12,12,12,,,,8,32,,,,
cairin_ot.krn.diss_A.txt,8,16,,24,8,,8,8,,,12,
calling_wood.krn.diss_A.txt,,20,,16,,,12,,,,,
calliope_house.krn.diss_A.txt,10,26,,4,,,,14,,,,
camp_meeting_on_the_fourth_of_july.krn.diss_A.txt,12,18,,20,4,,,20,,,,
camp_pleasant_jig.krn.diss_A.txt,4,10,,8,,,,6,,,12,
campbell_river_jig.krn.diss_A.txt,12,22,,,16,,,,,,,
campbells_farewell_to_redcastle.krn.diss_A.txt,,16,,,24,,,,,,,
caribou_reel.krn.diss_A.txt,8,20,4,,4,,,,12,16,,4
caribou_reel_alternate.krn.diss_A.txt,16,20,4,,14,,4,4,,16,,
carraroe.krn.diss_A.txt,,16,,8,,,4,,,,,
castle_aaaa.krn.diss_A.txt,8,24,4,,28,,,8,,,,
cat_fish_jig.krn.diss_A.txt,8,10,,8,2,,,20,,,2,
cat_in_the_hopper.krn.diss_A.txt,4,4,,,16,,,12,4,4,,
cat_on_a_leash.krn.diss_A.txt,8,36,,28,8,,4,28,,,,
catharsis.krn.diss_A.txt,8,22,12,,14,,4,,,36,,
cattle_in_the_cane.krn.diss_A.txt,4,,8,,4,,16,32,,8,,
celina.krn.diss_A.txt,4,8,,26,38,,,,,,,
cemetery_road.krn.diss_A.txt,,4,24,,12,,12,,,40,,
chaine_du_reel.krn.diss_A.txt,4,,,16,4,,4,12,,,4,
champaign_jig_goes_to_columbia.krn.diss_A.txt,4,14,,4,4,,,8,,,4,
charlie_mulvihills.krn.diss_A.txt,4,10,,16,,,16,20,,,,
chattanooga.krn.diss_A.txt,,28,,4,,,,32,,,,
cheat_mountain.krn.diss_A.txt,12,12,,12,18,,,16,,,12,
cheticamp.krn.diss_A.txt,8,8,,12,32,,8,10,,,2,
childgrove.krn.diss_A.txt,16,32,16,,,,,,4,,,
chipchase_reel.krn.diss_A.txt,4,20,,4,,8,,18,,,14,
chirps_and_grain.krn.diss_A.txt,4,16,,4,8,,,4,,4,16,
cincinnati_rag.krn.diss_A.txt,4,8,,16,,,2,16,,,6,4
cinquieme_partie_du_caledonia.krn.diss_A.txt,,,12,,12,,,,12,4,,
clare_jig.krn.diss_A.txt,20,12,,10,,,,24,,,,
cleveland_park.krn.diss_A.txt,12,40,12,,,,,,,,,
cliffs_of_moher.krn.diss_A.txt,4,16,,,12,,,16,,24,,
clog_de-pariseau.krn.diss_A.txt,16,48,12,,8,,,,,,,
cloud_nine.krn.diss_A.txt,20,28,,8,12,,4,8,,4,4,
coffee.krn.diss_A.txt,20,12,4,,4,,,,,12,,
coffee_alternate_b.krn.diss_A.txt,20,12,4,,4,,,,,12,,
colonel_mcbain.krn.diss_A.txt,,10,20,,,,4,,,,,
come_under_my_plaidie.krn.diss_A.txt,,20,,4,8,,,,,,,
con_cassidys_jig.krn.diss_A.txt,4,10,,8,12,,,10,,,4,
concert_reel.krn.diss_A.txt,20,32,,4,,,,22,,,12,
congress_reel.krn.diss_A.txt,10,,8,,32,,,,,16,,
contrazz.krn.diss_A.txt,8,14,24,,30,,,,4,32,,12
cooleys_reel.krn.diss_A.txt,10,16,,,32,,8,,,14,,
cordal_jig.krn.diss_A.txt,,6,4,,8,,16,,,18,,
cori-lation.krn.diss_A.txt,8,4,,,8,,,8,,,,
cottage_in_the_grove.krn.diss_A.txt,28,16,,,24,,4,,,22,,
cotton_baggin.krn.diss_A.txt,8,12,,16,12,,,8,,,12,
cotton_eyed_joe.krn.diss_A.txt,,28,,,,,,24,,,,
courtesans_jig.krn.diss_A.txt,8,8,,8,20,,,8,,8,,
cowboy_jig.krn.diss_A.txt,12,20,,32,4,,,10,,,6,
cowboys_dream.krn.diss_A.txt,12,24,,8,12,,8,,,,4,
cranberry_rock.krn.diss_A.txt,4,20,,16,,12,16,16,,,16,
cripple_creek.krn.diss_A.txt,4,20,,,4,,,24,,,,
crock_of_gold.krn.diss_A.txt,36,20,,24,,,20,8,,,4,
crocketts_honeymoon.krn.diss_A.txt,,44,,4,22,,4,4,,,12,
crook_brothers_tune.krn.diss_A.txt,,20,,4,,,,20,,,,
crowleys.krn.diss_A.txt,,8,,,,,8,,,,,
cruinniu_na_mbad.krn.diss_A.txt,4,24,,,2,,16,12,,,,
cuckoos_nest.krn.diss_A.txt,8,16,,20,4,,4,16,,,,
cuffy.krn.diss_A.txt,,8,,12,16,,,26,,,14,
cuil_aodha.krn.diss_A.txt,12,4,,8,18,,4,,,,12,
cultivateur_le.krn.diss_A.txt,8,4,,4,,,,,,,8,
cultivateur_le_alternate.krn.diss_A.txt,8,16,,4,8,,,4,,,4,
curvy_road_to_corinth.krn.diss_A.txt,16,8,8,,4,,12,,,12,,
cynthias_christmas_jig.krn.diss_A.txt,,8,,12,12,,,6,,,10,
